t,ia,ib,ic,vsq,vsd,speed,angle,output
4.1,-49.48311182,13.29656044,36.18655138,-141.1145324,-9.310679433,-12293.76531,-5427.772279,1
4.11,3.160306436,86.95404649,-90.11435292,-18.10982737,-225.4968965,-12420.55251,-5551.341917,1
4.12,90.94880052,-188.7143952,97.76559465,18.61584784,-239.4744156,-12549.90227,-5676.205138,1
4.13,-197.5393092,265.0309061,-67.49159697,-127.696541,-119.3293805,-12672.62851,-5802.359077,1
4.14,158.4207835,-127.4212801,-30.99950344,-67.7419976,51.57925043,-12810.83895,-5929.800704,1
4.15,-79.62215616,95.76952059,-16.14736442,131.0710261,53.10730753,-12935.93135,-6058.526774,1
4.16,-74.63597921,89.650379,-15.01439979,-171.4234999,147.6170717,-13064.05165,-6188.534832,1
4.17,170.7258008,-216.8992978,46.17349702,-240.1885858,-1.997192504,-13187.35839,-6319.821617,1
4.18,-213.5481201,217.2531627,-3.705042595,-161.8842172,65.87418213,-13316.52081,-6452.384256,1
4.19,134.4830565,-128.3836147,-6.099441731,-18.92248941,83.01407536,-13451.32576,-6586.219589,1
4.2,-94.09227356,101.8101928,-7.717919234,141.0451786,10.30813247,-13572.49385,-6721.324821,1
4.21,-74.78514823,90.12058438,-15.33543615,-173.240557,145.4803271,-13699.75169,-6857.697167,1
4.22,157.3831013,-224.0477709,66.66466956,-230.4465743,-67.7415819,-13821.4851,-6995.333435,1
4.23,-225.7907632,244.658092,-18.86732876,-173.9475855,-16.97483824,-13946.7072,-7134.230797,1
4.24,149.1182199,-126.9339001,-22.18431978,-64.26475523,55.85193416,-14080.85111,-7274.386182,1
4.25,-57.41682738,83.358685,-25.94185762,99.33022484,100.6653189,-14203.70714,-7415.796578,1
4.26,-68.99770512,115.6535936,-46.65588844,-225.945232,-11.20572621,-14326.99734,-7558.459347,1
4.27,119.3580278,-219.9545689,100.5965411,-129.0139491,-202.6078638,-14449.6382,-7702.371251,1
4.28,-201.5379676,264.2321628,-62.69419526,-130.7015109,-116.0302663,-14571.75044,-7847.529511,1
