t,ia,ib,ic,isq,isd,vsd,vsq,ha,hb,hc,speed,angle,torque,output
1.26,72.39900784,148.6338929,-221.0329008,25.81130635,223.889643,117.5763331,214.8855646,0,1,0,95.35840463,118.4846679,6.148400956,0
1.27,66.7875281,-219.8001819,153.0126538,24.07625916,224.0774668,119.1490655,214.0175231,1,0,0,94.74804828,119.4289791,5.729459207,0
1.28,-180.6054001,207.0670593,-26.4616592,24.61940211,224.032921,118.7022873,214.2656458,0,1,1,93.44420888,120.3709353,5.860080322,0
1.29,225.3739795,-115.1452304,-110.2287492,26.04072922,223.8824878,117.4198497,214.9711118,1,1,0,93.71469856,121.3119192,6.203283335,0
1.3,-184.0163049,-20.68971377,204.7060187,25.86059475,223.8920325,117.5491452,214.9004385,0,0,1,94.78053248,122.2545474,6.160064617,0
1.31,72.44905669,148.5957766,-221.0448333,24.72391105,224.0141086,118.5688138,214.3395353,0,1,0,94.76201975,123.198213,5.885536729,0
1.32,66.84556244,-219.8215728,152.9760103,24.61744976,224.0275051,118.687858,214.273639,1,0,0,93.98546567,124.1408296,5.859782002,0
1.33,-180.6290556,207.0531068,-26.42405121,25.39145912,223.9478897,117.9993674,214.6535564,0,1,1,93.74921632,125.0825049,6.04654519,0
1.34,225.3657588,-115.1696448,-110.1961139,25.77660466,223.9051969,117.6410125,214.8501621,1,1,0,94.23197034,126.0245655,6.139634458,0
1.35,-184.0289107,-20.66493469,204.6938454,25.39812429,223.9429284,117.968997,214.6702488,0,0,1,94.61589598,126.9674251,6.048289645,0
1.36,72.42900225,148.611668,-221.0406702,24.9117868,223.9932595,118.4091375,214.4277878,0,1,0,94.46435136,127.9104157,5.930908821,0
1.37,66.86204923,-219.8283301,152.9662809,24.92771801,223.9964654,118.4067708,214.4290946,1,0,0,94.09086795,128.8528908,5.934601933,0
1.38,-180.6200158,207.0573983,-26.43738248,25.2774615,223.959619,118.095579,214.6006389,0,1,1,93.99865245,129.7950059,6.019028573,0
1.39,225.3629032,-115.1835607,-110.1793425,25.47683479,223.9368581,117.9113361,214.7019255,1,1,0,94.19482634,130.7372691,6.067226708,0
1.4,-184.0267184,-20.6711528,204.6978712,25.37680612,223.9469798,117.9954121,214.6557307,0,0,1,94.36705181,131.6798448,6.043084641,0
1.41,72.41121058,148.6290645,-221.040275,25.15907442,223.9692194,118.1917477,214.5476888,0,1,0,94.37527892,132.6225513,5.990536994,0
1.42,66.86676271,-219.8278876,152.9611249,25.09784221,223.9757685,118.248889,214.5162005,1,0,0,94.25463766,133.5650957,5.97575208,0
1.43,-180.6086872,207.0586422,-26.44995496,25.15518181,223.9690523,118.1997317,214.5432903,0,1,1,94.19337647,134.5075162,5.989615385,0
1.44,225.3599666,-115.1948602,-110.1651064,25.22549541,223.9625454,118.1378555,214.5773686,1,1,0,94.18300548,135.4499219,6.006562365,0
1.45,-184.027296,-20.66928853,204.6965845,25.27570331,223.957831,118.0905117,214.6034274,0,0,1,94.21161247,136.3923446,6.018666317,0
1.46,72.40118548,148.6376189,-221.0388044,25.28079045,223.9561696,118.0854921,214.6061895,0,1,0,94.24388411,137.3348165,6.019930086,0
1.47,66.8775272,-219.8321486,152.9546214,25.2617608,223.9593096,118.1022195,214.5969845,1,0,0,94.26356728,138.2773138,6.015299703,0
1.48,-180.611974,207.0591275,-26.44715343,25.24040305,223.9613098,118.1211758,214.5865509,0,1,1,94.26731002,139.2198137,6.010151016,0
1.49,225.3604527,-115.1978145,-110.1626383,25.22649939,223.9629621,118.1339756,214.5795046,1,1,0,94.25995099,140.1623064,6.00678831,0
1.5,-184.0289018,-20.66553355,204.6944353,25.22313548,223.9630966,118.1372769,214.5776871,0,0,1,94.25235697,141.104788,6.00598308,0
1.51,72.40461436,148.635414,-221.0400284,25.22529533,223.962996,118.1354618,214.5786864,0,1,0,94.24585617,142.0472637,6.006500539,0
1.52,66.87620997,-219.8313544,152.9551444,25.23151549,223.9621753,118.1299877,214.5817,1,0,0,94.24352161,142.9897351,6.008007488,0
1.53,-180.6122626,207.0588399,-26.44657733,25.23562092,223.9617813,118.1262953,214.5837327,0,1,1,94.24405766,143.9322086,6.008997464,0
1.54,225.3603293,-115.1967476,-110.1635816,25.23729291,223.9616068,118.1247227,214.5845984,1,1,0,94.24610079,144.8746846,6.009401087,0
1.55,-184.0284523,-20.6665386,204.6949909,25.23724195,223.9616616,118.1247253,214.584597,0,0,1,94.24752784,145.8171624,6.009387228,0
1.56,72.40395748,148.6359094,-221.0398668,25.23658433,223.9616955,118.1252938,214.584284,0,1,0,94.24841364,146.7596409,6.009229568,0
1.57,66.87632437,-219.8314794,152.955155,25.23553141,223.9618323,118.1262336,214.5837667,1,0,0,94.24852914,147.7021197,6.008974543,0
1.58,-180.6121731,207.0589434,-26.44677034,25.23496364,223.9618862,118.1267467,214.5834842,0,1,1,94.24829924,148.6445981,6.00883765,0
1.59,225.3603401,-115.1969402,-110.1633998,25.2348348,223.9618974,118.1268737,214.5834143,1,1,0,94.247946,149.5870761,6.008806619,0
1.6,-184.0285036,-20.66638549,204.6948891,25.23492204,223.9618797,118.1268008,214.5834545,0,0,1,94.24774236,150.5295538,6.008827949,0
1.61,72.40403253,148.6358535,-221.039886,25.23506353,223.9618709,118.1266772,214.5835225,0,1,0,94.2476388,151.4720315,6.008861917,0
1.62,66.87632548,-219.8314649,152.9551394,25.23522142,223.9618508,118.1265348,214.5836009,1,0,0,94.24766008,152.4145091,6.008900146,0
1.63,-180.6121932,207.0589227,-26.4467295,25.2352911,223.9618442,118.126471,214.583636,0,1,1,94.24771492,153.3569868,6.008916947,0
1.64,225.3603393,-115.1969099,-110.1634294,25.23528959,223.961845,118.1264708,214.5836361,1,1,0,94.24777031,154.2994646,6.008916561,0
1.65,-184.0284984,-20.66640632,204.6949047,25.23526527,223.9618489,118.126492,214.5836244,0,0,1,94.2477964,155.2419424,6.008910648,0
1.66,72.40402635,148.635858,-221.0398843,25.23523931,223.9618507,118.1265148,214.5836119,0,1,0,94.24780592,156.1844202,6.00890441,0
1.67,66.87632214,-219.831466,152.9551439,25.23521782,223.9618533,118.1265345,214.5836011,1,0,0,94.24779699,157.1268981,6.00889921,0
1.68,-180.6121895,207.0589264,-26.44673691,25.23521076,223.961854,118.1265411,214.5835974,0,1,1,94.24778634,158.0693759,6.008897506,0
1.69,225.3603393,-115.1969143,-110.163425,25.23521422,223.9618535,118.1265382,214.583599,1,1,0,94.24777843,159.0118537,6.008898347,0
1.7,-184.0284987,-20.66640381,204.6949025,25.23521929,223.9618528,118.1265337,214.5836015,0,0,1,94.24777557,159.9543314,6.008899576,0
1.71,72.4040264,148.635858,-221.0398844,25.23522356,223.9618525,118.1265299,214.5836036,0,1,0,94.24777521,160.8968092,6.008900604,0
1.72,66.87632309,-219.831466,152.9551429,25.23522614,223.9618522,118.1265275,214.5836049,1,0,0,94.24777733,161.839287,6.008901228,0
1.73,-180.6121901,207.0589258,-26.4467357,25.23522657,223.9618521,118.1265271,214.5836052,0,1,1,94.24777916,162.7817648,6.008901332,0
1.74,225.3603393,-115.1969137,-110.1634256,25.2352256,223.9618523,118.1265279,214.5836047,1,1,0,94.24778017,163.7242426,6.008901096,0
1.75,-184.0284987,-20.66640406,204.6949028,25.23522468,223.9618524,118.1265287,214.5836042,0,0,1,94.2477804,164.6667204,6.008900875,0
1.76,72.40402653,148.6358579,-221.0398844,25.23522404,223.9618524,118.1265293,214.5836039,0,1,0,94.24778028,165.6091982,6.008900721,0
1.77,66.87632289,-219.831466,152.9551431,25.23522379,223.9618525,118.1265295,214.5836038,1,0,0,94.24777987,166.551676,6.00890066,0
1.78,-180.61219,207.0589259,-26.44673588,25.23522383,223.9618524,118.1265295,214.5836038,0,1,1,94.24777958,167.4941538,6.008900669,0
1.79,225.3603393,-115.1969137,-110.1634256,25.23522404,223.9618524,118.1265293,214.5836039,1,1,0,94.24777947,168.4366316,6.008900719,0
1.8,-184.0284987,-20.66640404,204.6949028,25.23522418,223.9618524,118.1265292,214.583604,0,0,1,94.24777947,169.3791094,6.008900755,0
1.81,72.40402649,148.6358579,-221.0398844,25.23522427,223.9618524,118.1265291,214.583604,0,1,0,94.24777952,170.3215872,6.008900776,0
1.82,66.87632293,-219.831466,152.9551431,25.23522428,223.9618524,118.1265291,214.583604,1,0,0,94.24777959,171.264065,6.008900779,0
1.83,-180.61219,207.0589259,-26.44673586,25.23522426,223.9618524,118.1265291,214.583604,0,1,1,94.24777963,172.2065428,6.008900774,0
1.84,225.3603393,-115.1969137,-110.1634256,25.23522423,223.9618524,118.1265292,214.583604,1,1,0,94.24777963,173.1490206,6.008900765,0
1.85,-184.0284987,-20.66640404,204.6949028,25.2352242,223.9618524,118.1265292,214.583604,0,0,1,94.24777963,174.0914984,6.008900759,0
1.86,72.4040265,148.6358579,-221.0398844,25.23522419,223.9618524,118.1265292,214.583604,0,1,0,94.24777962,175.0339762,6.008900757,0
1.87,66.87632292,-219.831466,152.9551431,25.2352242,223.9618524,118.1265292,214.583604,1,0,0,94.24777961,175.976454,6.008900757,0
